time; pose_x; pose_y; pose_heading;  gps_x; gps_y; speed_x; speed_y; acc_x; acc_y; actual_pos_x; actual_pos_y
5.536; -2.82754; 0.000120476; -0.00126316; -2.9; -1.11298e-11; 0.142181; -0.000179597; 0.0234932; -2.96756e-05; -2.83484; -9.91692e-07
5.552; -2.82526; 0.000131998; 0.00505263; -2.9; -1.11298e-11; 0.142529; 0.000720154; 0.0218988; 0.000110648; -2.83283; -9.4095e-07
5.568; -2.82298; 0.000134885; 0.00126316; -2.9; -1.11298e-11; 0.142852; 0.000180444; 0.0200342; 2.53064e-05; -2.83082; -8.79815e-07
5.584; -2.82069; 0.000123314; -0.00505263; -2.9; -1.11298e-11; 0.143137; -0.000723223; 0.0179241; -9.05644e-05; -2.82881; -8.08669e-07
5.6; -2.81839; 0.00012911; 0.00252632; -2.9; -1.11298e-11; 0.143388; 0.000362243; 0.015598; 3.94056e-05; -2.8268; -7.28035e-07
5.616; -2.81609; 0.000126208; -0.00126316; -2.9; -1.11298e-11; 0.143597; -0.000181386; 0.0130871; -1.65311e-05; -2.82479; -6.38562e-07
5.632; -2.81379; 0.000126208; 1.43115e-17; -2.9; -1.11298e-11; 0.143764; -1.75611e-16; 0.0104255; 1.49205e-19; -2.82279; -5.4103e-07
5.648; -2.81149; 0.000126208; 1.43115e-17; -2.9; -1.11298e-11; 0.143887; -1.7561e-16; 0.00764897; 1.09468e-19; -2.82078; -4.36333e-07
5.664; -2.80919; 0.000126208; 1.43115e-17; -2.9; -1.11298e-11; 0.143963; -1.75608e-16; 0.00479467; 6.86188e-20; -2.81877; -3.25474e-07
5.68; -2.80688; 0.000111657; -0.00631579; -2.9; -1.11298e-11; 0.143991; -0.000909428; 0.00190059; -1.20039e-05; -2.81676; -2.09556e-07
5.696; -2.80458; 0.000108747; -0.00126316; -2.9; -1.11298e-11; 0.143978; -0.000181867; -0.000994807; 1.2566e-06; -2.81475; -8.97665e-08
5.712; -2.80228; 0.000137832; 0.0126316; -2.9; -1.11298e-11; 0.143905; 0.00181784; -0.00385321; -4.86748e-05; -2.81274; 3.26282e-08
5.728; -2.79998; 0.000146552; 0.00378947; -2.9; -1.11298e-11; 0.143809; 0.000544963; -0.00663708; -2.51512e-05; -2.81073; 1.56301e-07
5.744; -2.79768; 0.000158166; 0.00505263; -2.9; -1.11298e-11; 0.143659; 0.000725863; -0.00931165; -4.70487e-05; -2.80872; 2.7988e-07
5.76; -2.79538; 0.000184262; 0.0113684; -2.9; -1.11298e-11; 0.143462; 0.00163101; -0.0118498; -0.000134719; -2.80671; 4.02965e-07
5.776; -2.79309; 0.000187157; 0.00126316; -2.9; -1.11298e-11; 0.143244; 0.00018094; -0.0142096; -1.7949e-05; -2.8047; 5.25234e-07
5.792; -2.7908; 0.000175598; -0.00505263; -2.9; -1.11298e-11; 0.142981; -0.000722434; -0.0163537; 8.263e-05; -2.80269; 6.46403e-07
5.808; -2.78852; 0.000192901; 0.00757895; -2.9; -1.11298e-11; 0.142686; 0.00108143; -0.0182449; -0.00013828; -2.80068; 7.66221e-07
5.824; -2.78624; 0.00021592; 0.0101053; -2.9; -1.11298e-11; 0.142366; 0.00143869; -0.0198358; -0.000200453; -2.79867; 8.84473e-07
5.84; -2.78397; 0.000207308; -0.00378947; -2.9; -1.11298e-11; 0.142034; -0.000538237; -0.0211237; 8.00482e-05; -2.79666; 1.00083e-06
5.856; -2.7817; 0.000227352; 0.00884211; -2.9; -1.11298e-11; 0.141677; 0.00125275; -0.0220652; -0.000195108; -2.79465; 1.11416e-06
5.872; -2.77944; 0.000213071; -0.00631579; -2.9; -1.11298e-11; 0.141317; -0.00089254; -0.0226424; 0.000143007; -2.79264; 1.22328e-06
